family,order,seasonal_order,aic
SARIMA,"(0, 0, 2)","(0, 1, 0, 12)",277.1154150749059
SARIMA,"(1, 0, 2)","(0, 1, 0, 12)",277.77486266890975
SARIMA,"(1, 1, 2)","(0, 1, 0, 12)",277.84817990557144
ARIMA,"(2, 1, 1)",,278.0200162429973
SARIMA,"(1, 0, 2)","(0, 0, 0, 12)",278.8031554144691
SARIMA,"(1, 0, 1)","(0, 1, 0, 12)",279.79494644361534
SARIMA,"(2, 1, 0)","(0, 0, 0, 12)",279.85998692142243
SARIMA,"(0, 1, 1)","(0, 0, 0, 12)",280.33418176407054
SARIMA,"(1, 1, 1)","(0, 0, 0, 12)",280.4605976597797
SARIMA,"(1, 1, 0)","(0, 0, 0, 12)",280.9548764970594
ARIMA,"(0, 1, 2)",,281.5121428025768
SARIMA,"(2, 0, 0)","(0, 0, 0, 12)",282.0185595125499
ARIMA,"(2, 2, 2)",,282.03352577855077
ARIMA,"(1, 0, 0)",,282.0582718847166
ARIMA,"(1, 1, 0)",,282.93097273738
ARIMA,"(1, 1, 2)",,283.1166362504642
SARIMA,"(2, 0, 1)","(0, 0, 0, 12)",283.6094488239633
SARIMA,"(1, 0, 1)","(0, 0, 0, 12)",283.9255957169708
ARIMA,"(2, 1, 0)",,284.0559977861306
ARIMA,"(0, 1, 1)",,284.5905612786202
ARIMA,"(1, 1, 1)",,284.67087493920286
SARIMA,"(0, 1, 0)","(0, 0, 0, 12)",285.77512434808136
ARIMA,"(0, 1, 0)",,287.751480280723
ARIMA,"(2, 2, 1)",,288.0022475362846
SARIMA,"(0, 0, 0)","(0, 1, 1, 12)",288.7912064992257
ARIMA,"(0, 2, 2)",,288.9682259397697
SARIMA,"(1, 0, 0)","(0, 0, 0, 12)",289.1659489079679
SARIMA,"(1, 0, 0)","(0, 1, 0, 12)",289.3987584887636
SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",290.7911539390851
SARIMA,"(0, 0, 1)","(0, 1, 0, 12)",290.93602264306645
SARIMA,"(0, 0, 2)","(1, 0, 1, 12)",292.0642185925969
ARIMA,"(0, 2, 1)",,292.4243428472341
SARIMA,"(0, 1, 2)","(0, 1, 0, 12)",292.6272697450836
SARIMA,"(0, 0, 1)","(1, 0, 0, 12)",295.60602404779263
SARIMA,"(0, 1, 1)","(0, 1, 0, 12)",295.8703750650058
SARIMA,"(0, 0, 0)","(1, 1, 0, 12)",297.4116334062879
SARIMA,"(2, 1, 0)","(0, 1, 0, 12)",297.74200930636727
SARIMA,"(1, 1, 1)","(0, 1, 0, 12)",297.8351748713504
SARIMA,"(1, 1, 0)","(0, 1, 0, 12)",298.9866291361401
SARIMA,"(0, 0, 2)","(1, 0, 0, 12)",299.30837499434733
SARIMA,"(0, 1, 0)","(0, 1, 0, 12)",299.443133173797
ARIMA,"(0, 0, 1)",,301.82752324259826
ARIMA,"(1, 2, 2)",,302.252657486047
ARIMA,"(1, 2, 0)",,305.74278467627204
ARIMA,"(1, 2, 1)",,307.56789488444684
ARIMA,"(2, 2, 0)",,307.6272090462397
ARIMA,"(0, 2, 0)",,324.0303190389575
SARIMA,"(0, 0, 0)","(1, 0, 1, 12)",333.7081182567766
SARIMA,"(0, 0, 0)","(0, 1, 0, 12)",340.4355861092713
SARIMA,"(0, 0, 0)","(1, 0, 0, 12)",341.1505648192738
ARIMA,"(0, 0, 0)",,356.925468225096
SARIMA,"(0, 0, 2)","(0, 0, 1, 12)",361.98007451537956
SARIMA,"(0, 0, 1)","(0, 0, 1, 12)",434.51606783583287
SARIMA,"(0, 0, 2)","(0, 0, 0, 12)",471.3060450872531
SARIMA,"(0, 0, 0)","(0, 0, 1, 12)",530.8084113829827
SARIMA,"(0, 0, 1)","(0, 0, 0, 12)",577.5857431701816
SARIMA,"(0, 0, 0)","(0, 0, 0, 12)",696.8892471697094
